Id,cap-shape,cap-surface,cap-color,bruises?,odor,gill-attachment,gill-spacing,gill-size,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,target
1061,x,s,y,t,l,f,w,n,n,n,t,b,s,s,w,w,p,w,o,p,n,v,d,e
1062,x,s,g,f,n,f,w,b,b,k,t,e,f,s,w,w,p,w,o,e,n,s,g,e
1063,x,f,g,f,n,f,w,b,b,n,t,e,f,f,w,w,p,w,o,e,n,s,g,e
1064,f,y,w,t,p,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,k,s,u,p
1065,f,f,y,t,l,f,w,n,n,p,t,b,s,s,w,w,p,w,o,p,u,v,d,e
1066,x,y,w,t,a,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g,e
1067,f,f,w,f,n,f,w,b,b,p,t,e,f,s,w,w,p,w,o,e,n,a,g,e
1068,x,f,n,t,n,f,c,b,b,u,t,b,s,s,g,g,p,w,o,p,k,v,d,e
1069,x,y,n,t,l,f,c,b,b,n,e,r,s,y,w,w,p,w,o,p,n,s,g,e
1070,x,s,w,f,n,f,w,b,b,h,t,e,s,f,w,w,p,w,o,e,n,a,g,e
1071,f,y,w,t,p,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,n,v,g,p
1072,x,s,y,t,a,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,n,s,g,e
1073,x,f,g,t,n,f,c,b,b,p,t,b,s,s,p,w,p,w,o,p,k,y,d,e
1074,f,y,y,t,l,f,c,b,b,p,e,r,s,y,w,w,p,w,o,p,k,s,p,e
1075,f,s,g,f,n,f,w,b,b,k,t,e,f,s,w,w,p,w,o,e,k,a,g,e
1076,f,f,n,f,n,f,c,n,n,p,e,e,s,s,w,w,p,w,o,p,n,y,u,e
1077,f,y,w,t,p,f,c,n,n,n,e,e,s,s,w,w,p,w,o,p,n,v,g,p
1078,f,f,g,f,n,f,w,b,b,k,t,e,f,s,w,w,p,w,o,e,n,s,g,e
1079,x,y,n,t,l,f,c,b,b,p,e,r,s,y,w,w,p,w,o,p,k,s,p,e
1080,f,f,w,f,n,f,w,b,b,h,t,e,s,s,w,w,p,w,o,e,k,a,g,e
1081,f,y,n,t,p,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u,p
1082,b,s,y,t,l,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,k,n,m,e
1083,f,f,g,f,n,f,w,b,b,n,t,e,f,f,w,w,p,w,o,e,k,s,g,e
1084,b,s,w,t,l,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,k,n,g,e
1085,f,f,g,f,n,f,w,b,b,p,t,e,s,f,w,w,p,w,o,e,n,s,g,e
1086,b,y,w,t,l,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m,e
1087,x,y,w,t,l,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m,e
1088,f,y,n,t,p,f,c,n,n,n,e,e,s,s,w,w,p,w,o,p,k,v,g,p
1089,x,y,y,t,l,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g,e
1090,s,f,n,f,n,f,c,n,n,n,e,e,s,s,w,w,p,w,o,p,k,y,u,e
1091,x,y,n,t,a,f,c,b,b,n,e,r,s,y,w,w,p,w,o,p,k,y,g,e
1092,f,f,g,f,n,f,w,b,b,n,t,e,s,f,w,w,p,w,o,e,n,a,g,e
1093,f,f,y,t,l,f,w,n,n,n,t,b,s,s,w,w,p,w,o,p,u,v,d,e
1094,x,s,g,f,n,f,w,b,b,p,t,e,f,f,w,w,p,w,o,e,n,a,g,e
1095,f,y,n,t,p,f,c,n,n,n,e,e,s,s,w,w,p,w,o,p,k,v,u,p
1096,x,f,g,f,n,f,w,b,b,p,t,e,s,s,w,w,p,w,o,e,k,a,g,e
1097,x,s,g,f,n,f,w,b,b,h,t,e,f,s,w,w,p,w,o,e,k,a,g,e
1098,x,f,g,f,n,f,w,b,b,h,t,e,f,s,w,w,p,w,o,e,k,s,g,e
1099,x,y,n,t,p,f,c,n,n,n,e,e,s,s,w,w,p,w,o,p,n,s,g,p
1100,x,f,n,f,n,f,w,b,b,k,t,e,f,f,w,w,p,w,o,e,n,a,g,e
1101,f,s,w,f,n,f,w,b,b,k,t,e,f,s,w,w,p,w,o,e,n,s,g,e
1102,x,f,g,f,n,f,w,b,b,h,t,e,s,s,w,w,p,w,o,e,n,s,g,e
1103,x,y,n,t,p,f,c,n,n,w,e,e,s,s,w,w,p,w,o,p,n,s,g,p
1104,f,f,n,f,n,f,w,b,b,n,t,e,s,f,w,w,p,w,o,e,n,a,g,e
1105,f,s,w,f,n,f,w,b,b,n,t,e,f,s,w,w,p,w,o,e,k,a,g,e
1106,x,y,w,t,p,f,c,n,n,n,e,e,s,s,w,w,p,w,o,p,k,v,u,p
1107,f,f,g,f,n,f,w,b,b,k,t,e,s,f,w,w,p,w,o,e,n,a,g,e
1108,b,y,y,t,l,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g,e
1109,x,s,n,f,n,f,w,b,b,h,t,e,f,f,w,w,p,w,o,e,n,a,g,e
1110,f,f,n,f,n,f,w,b,b,k,t,e,f,s,w,w,p,w,o,e,k,a,g,e
1111,f,s,w,t,p,f,c,n,n,n,e,e,s,s,w,w,p,w,o,p,k,s,g,p
1112,x,y,n,t,a,f,c,b,b,w,e,r,s,y,w,w,p,w,o,p,n,s,g,e
1113,f,f,w,f,n,f,w,b,b,k,t,e,f,s,w,w,p,w,o,e,k,a,g,e
1114,f,y,n,t,l,f,c,b,b,p,e,r,s,y,w,w,p,w,o,p,k,s,g,e
1115,f,f,g,f,n,f,w,b,b,p,t,e,s,s,w,w,p,w,o,e,k,s,g,e
1116,f,f,g,f,n,f,w,b,b,n,t,e,f,f,w,w,p,w,o,e,n,s,g,e
1117,f,s,g,f,n,f,w,b,b,h,t,e,f,f,w,w,p,w,o,e,n,s,g,e
1118,f,f,n,f,n,f,w,b,b,k,t,e,f,s,w,w,p,w,o,e,k,s,g,e
1119,x,s,g,f,n,f,w,b,b,h,t,e,s,s,w,w,p,w,o,e,n,s,g,e
1120,x,f,w,f,n,f,w,b,b,p,t,e,f,s,w,w,p,w,o,e,k,s,g,e
1121,f,f,w,f,n,f,w,b,b,k,t,e,s,f,w,w,p,w,o,e,k,a,g,e
1122,x,s,n,f,n,f,w,b,b,p,t,e,f,f,w,w,p,w,o,e,n,s,g,e
1123,x,f,n,t,n,f,c,b,b,p,t,b,s,s,p,p,p,w,o,p,k,v,d,e
1124,f,s,y,t,a,f,w,n,n,p,t,b,s,s,w,w,p,w,o,p,u,v,d,e
1125,x,f,w,f,n,f,w,b,b,p,t,e,s,s,w,w,p,w,o,e,k,s,g,e
1126,f,s,w,f,n,f,w,b,b,p,t,e,s,s,w,w,p,w,o,e,k,a,g,e
1127,b,s,y,t,a,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g,e
1128,x,f,w,f,n,f,w,b,b,h,t,e,s,f,w,w,p,w,o,e,n,a,g,e
1129,x,f,g,f,n,f,w,b,b,k,t,e,s,f,w,w,p,w,o,e,k,a,g,e
1130,f,s,n,t,p,f,c,n,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u,p
1131,x,f,g,f,n,f,w,b,b,n,t,e,f,s,w,w,p,w,o,e,k,a,g,e
1132,x,s,n,t,p,f,c,n,n,p,e,e,s,s,w,w,p,w,o,p,k,s,g,p
1133,f,s,w,f,n,f,w,b,b,k,t,e,f,f,w,w,p,w,o,e,n,s,g,e
1134,x,y,w,t,a,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,k,n,g,e
1135,x,f,n,f,n,f,w,b,b,h,t,e,s,s,w,w,p,w,o,e,k,s,g,e
1136,x,f,n,t,n,f,c,b,b,n,t,b,s,s,w,p,p,w,o,p,n,y,d,e
1137,b,y,y,t,l,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,e
1138,f,f,w,f,n,f,w,b,b,h,t,e,s,s,w,w,p,w,o,e,n,a,g,e
1139,x,s,n,f,n,f,w,b,b,n,t,e,f,s,w,w,p,w,o,e,n,a,g,e
1140,f,f,w,f,n,f,w,b,b,n,t,e,s,s,w,w,p,w,o,e,n,a,g,e
1141,x,f,n,t,n,f,c,b,b,p,t,b,s,s,w,p,p,w,o,p,n,v,d,e
1142,f,f,w,f,n,f,w,b,b,h,t,e,s,f,w,w,p,w,o,e,n,s,g,e
1143,x,s,w,f,n,f,w,b,b,k,t,e,s,f,w,w,p,w,o,e,k,a,g,e
1144,x,s,n,f,n,f,w,b,b,n,t,e,f,f,w,w,p,w,o,e,n,a,g,e
1145,x,f,w,f,n,f,w,b,b,n,t,e,f,s,w,w,p,w,o,e,n,s,g,e
1146,f,s,g,f,n,f,w,b,b,k,t,e,f,s,w,w,p,w,o,e,k,s,g,e
1147,x,f,g,f,n,f,w,b,b,n,t,e,s,s,w,w,p,w,o,e,n,a,g,e
1148,x,f,g,f,n,f,w,b,b,h,t,e,f,f,w,w,p,w,o,e,k,a,g,e
1149,f,s,n,f,n,f,w,b,b,h,t,e,f,s,w,w,p,w,o,e,k,a,g,e
1150,f,s,w,f,n,f,w,b,b,p,t,e,f,f,w,w,p,w,o,e,k,a,g,e
1151,f,y,n,t,a,f,c,b,b,n,e,r,s,y,w,w,p,w,o,p,k,y,p,e
1152,x,y,w,t,p,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,n,v,g,p
1153,f,s,g,f,n,f,w,b,b,h,t,e,f,s,w,w,p,w,o,e,k,a,g,e
1154,x,y,w,t,p,f,c,n,n,n,e,e,s,s,w,w,p,w,o,p,k,v,g,p
1155,b,y,w,t,a,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,n,s,m,e
1156,x,s,g,f,n,f,w,b,b,n,t,e,s,s,w,w,p,w,o,e,k,s,g,e
1157,f,f,g,f,n,f,w,b,b,h,t,e,s,f,w,w,p,w,o,e,k,a,g,e
1158,f,f,w,f,n,f,w,b,b,n,t,e,s,f,w,w,p,w,o,e,n,s,g,e
1159,f,s,g,f,n,f,w,b,b,h,t,e,f,f,w,w,p,w,o,e,k,s,g,e
1160,b,y,w,t,a,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g,e
1161,x,f,g,f,n,f,w,b,b,n,t,e,f,s,w,w,p,w,o,e,k,s,g,e
1162,x,f,e,t,n,f,c,b,b,p,t,b,s,s,w,w,p,w,o,p,n,v,d,e
1163,x,y,y,t,a,f,c,b,b,p,e,r,s,y,w,w,p,w,o,p,k,s,p,e
1164,x,s,w,f,n,f,w,b,b,k,t,e,f,f,w,w,p,w,o,e,k,s,g,e
1165,b,s,w,t,a,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m,e
1166,x,s,n,t,p,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,k,v,g,p
1167,x,f,n,t,n,f,c,b,b,p,t,b,s,s,p,p,p,w,o,p,k,y,d,e
1168,f,s,n,f,n,f,w,b,b,n,t,e,s,s,w,w,p,w,o,e,k,s,g,e
1169,b,s,w,t,a,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,e
1170,x,s,g,f,n,f,w,b,b,n,t,e,f,s,w,w,p,w,o,e,k,s,g,e
1171,x,f,n,t,n,f,c,b,b,u,t,b,s,s,p,g,p,w,o,p,k,v,d,e
1172,f,f,w,f,n,f,w,b,b,p,t,e,f,f,w,w,p,w,o,e,n,a,g,e
1173,x,f,n,f,n,f,c,n,n,g,e,e,s,s,w,w,p,w,o,p,k,v,u,e
1174,x,f,g,f,n,f,c,n,n,g,e,e,s,s,w,w,p,w,o,p,k,v,u,e
1175,x,f,g,f,n,f,c,n,n,p,e,e,s,s,w,w,p,w,o,p,k,y,u,e
1176,b,y,y,t,l,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m,e
1177,f,f,n,f,n,f,c,n,n,g,e,e,s,s,w,w,p,w,o,p,n,v,u,e
1178,x,f,w,f,n,f,w,b,b,k,t,e,s,f,w,w,p,w,o,e,n,a,g,e
1179,f,y,n,t,a,f,c,b,b,w,e,r,s,y,w,w,p,w,o,p,k,s,p,e
1180,x,y,n,t,l,f,c,b,b,p,e,r,s,y,w,w,p,w,o,p,k,y,p,e
1181,x,y,y,t,l,f,c,b,b,p,e,r,s,y,w,w,p,w,o,p,k,y,g,e
1182,f,f,g,f,n,f,w,b,b,h,t,e,f,s,w,w,p,w,o,e,n,a,g,e
1183,x,y,w,t,a,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g,e
1184,x,y,w,t,a,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,k,s,g,e
1185,f,s,w,f,n,f,w,b,b,n,t,e,f,f,w,w,p,w,o,e,n,a,g,e
1186,f,s,g,f,n,f,w,b,b,h,t,e,s,s,w,w,p,w,o,e,k,a,g,e
1187,f,s,n,t,p,f,c,n,n,p,e,e,s,s,w,w,p,w,o,p,k,v,u,p
1188,x,y,y,t,l,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g,e
1189,x,f,n,f,n,f,w,b,b,p,t,e,s,s,w,w,p,w,o,e,n,s,g,e
1190,x,f,w,f,n,f,w,b,b,p,t,e,f,f,w,w,p,w,o,e,k,s,g,e
1191,x,s,y,t,l,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,n,s,m,e
1192,x,f,e,t,n,f,c,b,b,p,t,b,s,s,g,p,p,w,o,p,n,v,d,e
1193,f,y,n,t,l,f,c,b,b,p,e,r,s,y,w,w,p,w,o,p,n,s,p,e
1194,b,s,w,t,a,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,k,n,g,e
1195,x,s,n,t,p,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,k,s,g,p
1196,x,f,g,f,n,f,w,b,b,k,t,e,f,s,w,w,p,w,o,e,k,s,g,e
1197,b,y,w,t,a,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m,e
1198,x,s,w,t,l,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g,e
1199,b,y,y,t,l,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m,e
1200,x,y,w,t,l,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,n,n,g,e
1201,x,s,y,t,a,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g,e
1202,b,s,w,t,a,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,k,n,g,e
1203,f,s,n,f,n,f,w,b,b,k,t,e,s,s,w,w,p,w,o,e,k,s,g,e
1204,f,s,w,t,p,f,c,n,n,n,e,e,s,s,w,w,p,w,o,p,n,s,g,p
1205,f,s,n,f,n,f,w,b,b,h,t,e,s,s,w,w,p,w,o,e,n,a,g,e
1206,f,f,n,f,n,f,w,b,b,h,t,e,s,s,w,w,p,w,o,e,k,a,g,e
1207,f,y,w,t,p,f,c,n,n,p,e,e,s,s,w,w,p,w,o,p,k,s,u,p
1208,f,s,w,f,n,f,w,b,b,h,t,e,f,s,w,w,p,w,o,e,k,a,g,e
1209,x,f,w,f,n,f,w,b,b,p,t,e,s,s,w,w,p,w,o,e,n,s,g,e
1210,x,s,n,f,n,f,w,b,b,p,t,e,s,f,w,w,p,w,o,e,k,a,g,e
1211,f,s,n,f,n,f,w,b,b,p,t,e,s,s,w,w,p,w,o,e,k,a,g,e
1212,f,y,y,t,a,f,c,b,b,n,e,r,s,y,w,w,p,w,o,p,k,y,g,e
1213,x,f,g,f,n,f,w,b,b,n,t,e,f,f,w,w,p,w,o,e,k,a,g,e
1214,x,f,n,f,n,f,w,b,b,n,t,e,s,s,w,w,p,w,o,e,k,a,g,e
1215,f,s,n,t,p,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,n,v,g,p
1216,x,s,w,f,n,f,w,b,b,p,t,e,f,f,w,w,p,w,o,e,n,a,g,e
1217,f,f,n,f,n,f,w,b,b,p,t,e,f,s,w,w,p,w,o,e,k,s,g,e
1218,f,f,w,f,n,f,w,b,b,h,t,e,f,f,w,w,p,w,o,e,n,a,g,e
1219,f,f,w,f,n,f,w,b,b,k,t,e,f,f,w,w,p,w,o,e,n,s,g,e
1220,x,y,y,t,a,f,c,b,b,n,e,r,s,y,w,w,p,w,o,p,k,s,g,e
1221,x,s,g,f,n,f,w,b,b,k,t,e,f,f,w,w,p,w,o,e,n,s,g,e
1222,x,f,g,f,n,f,w,b,b,k,t,e,f,f,w,w,p,w,o,e,n,a,g,e
1223,f,f,n,f,n,f,w,b,b,h,t,e,f,f,w,w,p,w,o,e,k,s,g,e
1224,f,s,n,f,n,f,w,b,b,p,t,e,f,s,w,w,p,w,o,e,k,a,g,e
1225,x,f,w,f,n,f,w,b,b,k,t,e,s,s,w,w,p,w,o,e,k,s,g,e
1226,x,y,e,t,n,f,c,b,b,w,t,b,s,s,g,p,p,w,o,p,n,v,d,e
1227,x,f,n,f,n,f,w,b,b,p,t,e,s,s,w,w,p,w,o,e,k,a,g,e
1228,x,s,w,t,p,f,c,n,n,p,e,e,s,s,w,w,p,w,o,p,n,v,g,p
1229,x,y,n,t,n,f,c,b,b,w,t,b,s,s,p,g,p,w,o,p,k,y,d,e
1230,x,f,n,f,n,f,w,b,b,n,t,e,s,f,w,w,p,w,o,e,n,s,g,e
1231,f,y,w,t,p,f,c,n,n,w,e,e,s,s,w,w,p,w,o,p,n,s,g,p
1232,f,f,g,f,n,f,w,b,b,k,t,e,f,s,w,w,p,w,o,e,k,a,g,e
1233,x,f,w,f,n,f,w,b,b,p,t,e,f,f,w,w,p,w,o,e,n,a,g,e
1234,f,s,n,f,n,f,w,b,b,h,t,e,s,f,w,w,p,w,o,e,k,a,g,e
1235,f,f,g,f,n,f,w,b,b,p,t,e,s,f,w,w,p,w,o,e,k,a,g,e
1236,f,s,g,f,n,f,w,b,b,p,t,e,f,s,w,w,p,w,o,e,k,a,g,e
1237,f,f,g,f,n,f,w,b,b,h,t,e,s,f,w,w,p,w,o,e,n,s,g,e
1238,x,s,g,f,n,f,w,b,b,h,t,e,s,f,w,w,p,w,o,e,n,s,g,e
1239,x,s,n,f,n,f,w,b,b,h,t,e,s,f,w,w,p,w,o,e,k,s,g,e
1240,f,s,w,t,p,f,c,n,n,p,e,e,s,s,w,w,p,w,o,p,k,v,u,p
1241,x,s,g,f,n,f,w,b,b,k,t,e,f,f,w,w,p,w,o,e,n,a,g,e
1242,x,s,w,t,p,f,c,n,n,p,e,e,s,s,w,w,p,w,o,p,k,s,g,p
1243,f,s,w,t,p,f,c,n,n,w,e,e,s,s,w,w,p,w,o,p,n,s,u,p
1244,f,s,n,f,n,f,w,b,b,k,t,e,s,f,w,w,p,w,o,e,n,s,g,e
1245,x,f,g,f,n,f,w,b,b,k,t,e,s,s,w,w,p,w,o,e,k,a,g,e
1246,f,s,g,f,n,f,w,b,b,h,t,e,s,s,w,w,p,w,o,e,n,a,g,e
1247,x,s,g,f,n,f,w,b,b,k,t,e,s,s,w,w,p,w,o,e,k,a,g,e
1248,f,f,g,f,n,f,w,b,b,n,t,e,f,s,w,w,p,w,o,e,k,a,g,e
1249,f,f,g,f,n,f,w,b,b,k,t,e,f,s,w,w,p,w,o,e,n,a,g,e
1250,x,y,g,t,n,f,c,b,b,n,t,b,s,s,g,p,p,w,o,p,n,y,d,e
1251,x,f,n,t,n,f,c,b,b,n,t,b,s,s,w,w,p,w,o,p,n,v,d,e
1252,f,s,w,f,n,f,w,b,b,k,t,e,s,f,w,w,p,w,o,e,n,a,g,e
1253,f,y,w,t,p,f,c,n,n,p,e,e,s,s,w,w,p,w,o,p,n,v,g,p
1254,f,y,n,t,p,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,n,s,g,p
1255,x,s,w,f,n,f,w,b,b,p,t,e,f,s,w,w,p,w,o,e,n,a,g,e
1256,f,s,n,t,p,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,n,s,g,p
1257,f,f,n,f,n,f,w,b,b,h,t,e,s,f,w,w,p,w,o,e,k,s,g,e
1258,f,s,w,f,n,f,w,b,b,h,t,e,f,s,w,w,p,w,o,e,n,a,g,e
1259,f,s,n,t,p,f,c,n,n,w,e,e,s,s,w,w,p,w,o,p,k,v,g,p
1260,f,y,w,t,p,f,c,n,n,p,e,e,s,s,w,w,p,w,o,p,k,v,g,p
1261,f,y,n,t,p,f,c,n,n,w,e,e,s,s,w,w,p,w,o,p,k,v,g,p
1262,f,s,w,t,p,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,k,s,g,p
1263,x,s,w,f,n,f,w,b,b,k,t,e,f,f,w,w,p,w,o,e,k,a,g,e
1264,x,f,n,t,n,f,c,b,b,p,t,b,s,s,g,p,p,w,o,p,n,v,d,e
1265,f,s,w,f,n,f,w,b,b,k,t,e,f,f,w,w,p,w,o,e,n,a,g,e
1266,f,f,g,f,n,f,w,b,b,p,t,e,f,s,w,w,p,w,o,e,k,a,g,e
1267,f,y,n,t,p,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u,p
1268,x,s,w,f,n,f,w,b,b,k,t,e,f,f,w,w,p,w,o,e,n,s,g,e
1269,x,y,e,t,n,f,c,b,b,n,t,b,s,s,p,w,p,w,o,p,n,y,d,e
1270,f,s,g,f,n,f,w,b,b,n,t,e,f,s,w,w,p,w,o,e,k,s,g,e
1271,x,s,w,f,n,f,w,b,b,n,t,e,f,f,w,w,p,w,o,e,n,s,g,e
1272,f,s,w,t,p,f,c,n,n,p,e,e,s,s,w,w,p,w,o,p,n,s,g,p
1273,f,f,n,f,n,f,w,b,b,k,t,e,f,s,w,w,p,w,o,e,n,a,g,e
1274,x,f,w,f,n,f,w,b,b,h,t,e,s,s,w,w,p,w,o,e,k,s,g,e
1275,f,s,w,t,p,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,k,s,u,p
1276,x,f,n,f,n,f,w,b,b,p,t,e,s,f,w,w,p,w,o,e,n,a,g,e
1277,f,f,w,f,n,f,w,b,b,n,t,e,s,s,w,w,p,w,o,e,n,s,g,e
1278,x,s,w,f,n,f,w,b,b,h,t,e,s,s,w,w,p,w,o,e,k,s,g,e
1279,f,s,w,f,n,f,w,b,b,h,t,e,f,s,w,w,p,w,o,e,n,s,g,e
1280,b,y,y,t,a,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m,e
1281,x,s,g,f,n,f,w,b,b,n,t,e,s,s,w,w,p,w,o,e,n,a,g,e
1282,x,f,w,f,n,f,w,b,b,n,t,e,s,f,w,w,p,w,o,e,k,s,g,e
1283,x,s,n,f,n,f,w,b,b,n,t,e,f,s,w,w,p,w,o,e,n,s,g,e
1284,x,f,n,f,n,f,w,b,b,n,t,e,f,s,w,w,p,w,o,e,k,a,g,e
1285,f,f,g,f,n,f,w,b,b,h,t,e,f,f,w,w,p,w,o,e,k,a,g,e
1286,x,y,n,t,p,f,c,n,n,n,e,e,s,s,w,w,p,w,o,p,k,s,u,p
1287,f,s,g,f,n,f,w,b,b,h,t,e,f,s,w,w,p,w,o,e,k,s,g,e
1288,x,f,n,t,n,f,c,b,b,p,t,b,s,s,w,g,p,w,o,p,k,y,d,e
1289,f,s,w,f,n,f,w,b,b,n,t,e,s,f,w,w,p,w,o,e,k,a,g,e
1290,x,f,n,t,n,f,c,b,b,n,t,b,s,s,g,g,p,w,o,p,k,v,d,e
1291,x,f,g,f,n,f,w,b,b,p,t,e,f,s,w,w,p,w,o,e,n,a,g,e
1292,x,f,w,f,n,f,w,b,b,n,t,e,s,f,w,w,p,w,o,e,k,a,g,e
1293,f,s,w,t,p,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,n,v,g,p
1294,f,s,w,t,p,f,c,n,n,p,e,e,s,s,w,w,p,w,o,p,k,v,g,p
1295,x,s,g,f,n,f,w,b,b,k,t,e,f,s,w,w,p,w,o,e,n,a,g,e
1296,x,f,n,t,n,f,c,b,b,u,t,b,s,s,g,p,p,w,o,p,n,v,d,e
1297,x,s,g,f,n,f,w,b,b,k,t,e,s,f,w,w,p,w,o,e,k,s,g,e
1298,x,y,y,t,a,f,c,b,b,w,e,r,s,y,w,w,p,w,o,p,k,s,p,e
1299,f,s,w,f,n,f,w,b,b,n,t,e,s,s,w,w,p,w,o,e,n,a,g,e
1300,x,s,w,f,n,f,w,b,b,p,t,e,s,s,w,w,p,w,o,e,n,a,g,e
1301,x,f,g,f,n,f,w,b,b,k,t,e,f,s,w,w,p,w,o,e,k,a,g,e
1302,f,s,w,f,n,f,w,b,b,h,t,e,s,f,w,w,p,w,o,e,n,s,g,e
1303,x,f,n,t,n,f,c,b,b,n,t,b,s,s,w,w,p,w,o,p,n,y,d,e
1304,f,s,g,f,n,f,w,b,b,k,t,e,s,f,w,w,p,w,o,e,n,a,g,e
1305,f,s,g,f,n,f,w,b,b,h,t,e,s,s,w,w,p,w,o,e,n,s,g,e
1306,f,f,n,f,n,f,w,b,b,p,t,e,f,s,w,w,p,w,o,e,n,s,g,e
1307,f,s,w,f,n,f,w,b,b,k,t,e,s,f,w,w,p,w,o,e,n,s,g,e
1308,f,s,w,f,n,f,w,b,b,h,t,e,s,s,w,w,p,w,o,e,n,a,g,e
1309,f,s,g,f,n,f,w,b,b,p,t,e,s,s,w,w,p,w,o,e,n,s,g,e
1310,f,f,w,f,n,f,w,b,b,n,t,e,f,f,w,w,p,w,o,e,n,s,g,e
1311,f,s,n,f,n,f,w,b,b,p,t,e,s,f,w,w,p,w,o,e,n,a,g,e
1312,f,s,w,t,p,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,n,s,g,p
1313,x,f,g,f,n,f,w,b,b,n,t,e,f,s,w,w,p,w,o,e,n,a,g,e
1314,b,y,y,t,l,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,k,n,g,e
1315,f,f,n,f,n,f,w,b,b,k,t,e,f,f,w,w,p,w,o,e,n,s,g,e
1316,f,s,g,f,n,f,w,b,b,k,t,e,s,s,w,w,p,w,o,e,n,s,g,e
1317,x,f,n,t,n,f,c,b,b,n,t,b,s,s,w,g,p,w,o,p,k,y,d,e
1318,b,s,y,t,l,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m,e
1319,x,s,w,f,n,f,w,b,b,p,t,e,s,s,w,w,p,w,o,e,k,s,g,e
1320,f,f,n,t,n,f,c,b,b,n,t,b,s,s,w,p,p,w,o,p,n,y,d,e
1321,x,s,w,t,p,f,c,n,n,n,e,e,s,s,w,w,p,w,o,p,n,s,g,p
1322,f,f,w,f,n,f,w,b,b,n,t,e,f,s,w,w,p,w,o,e,k,s,g,e
1323,f,y,w,t,p,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u,p
1324,x,s,n,f,n,f,w,b,b,k,t,e,f,s,w,w,p,w,o,e,n,a,g,e
1325,f,s,n,f,n,f,w,b,b,n,t,e,s,f,w,w,p,w,o,e,k,a,g,e
1326,b,s,y,t,l,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,k,n,g,e
1327,f,s,g,f,n,f,w,b,b,k,t,e,f,f,w,w,p,w,o,e,n,a,g,e
1328,x,s,g,f,n,f,w,b,b,k,t,e,s,f,w,w,p,w,o,e,n,a,g,e
1329,f,f,g,f,n,f,w,b,b,k,t,e,f,f,w,w,p,w,o,e,k,s,g,e
1330,x,f,g,f,n,f,w,b,b,k,t,e,s,s,w,w,p,w,o,e,k,s,g,e
1331,f,s,w,f,n,f,w,b,b,n,t,e,s,s,w,w,p,w,o,e,k,a,g,e
