Id,cap-shape,cap-surface,cap-color,bruises?,odor,gill-attachment,gill-spacing,gill-size,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
2274,f,f,g,t,n,f,c,b,b,n,t,b,s,s,w,g,p,w,o,p,k,v,d
2275,x,y,n,t,n,f,c,b,b,u,t,b,s,s,w,p,p,w,o,p,n,y,d
2276,x,f,e,t,n,f,c,b,b,u,t,b,s,s,p,g,p,w,o,p,k,y,d
2277,x,f,n,t,n,f,c,b,b,w,t,b,s,s,w,p,p,w,o,p,n,y,d
2278,x,f,g,t,n,f,c,b,b,n,t,b,s,s,w,w,p,w,o,p,n,v,d
2279,f,f,g,t,n,f,c,b,b,w,t,b,s,s,g,w,p,w,o,p,n,v,d
2280,x,f,n,t,n,f,c,b,b,p,t,b,s,s,p,g,p,w,o,p,k,y,d
2281,x,y,n,t,n,f,c,b,b,u,t,b,s,s,p,g,p,w,o,p,n,y,d
2282,x,f,e,t,n,f,c,b,b,p,t,b,s,s,w,g,p,w,o,p,n,v,d
2283,f,f,g,t,n,f,c,b,b,n,t,b,s,s,w,g,p,w,o,p,k,y,d
2284,x,y,n,t,n,f,c,b,b,p,t,b,s,s,w,p,p,w,o,p,k,y,d
2285,x,s,p,f,c,f,w,n,n,n,e,b,s,s,w,w,p,w,o,p,k,v,d
2286,f,y,g,t,n,f,c,b,b,w,t,b,s,s,g,w,p,w,o,p,k,y,d
2287,f,f,n,t,n,f,c,b,b,p,t,b,s,s,w,g,p,w,o,p,n,y,d
2288,f,s,n,t,p,f,c,n,n,p,e,e,s,s,w,w,p,w,o,p,k,s,u
2289,x,y,n,t,n,f,c,b,b,u,t,b,s,s,w,g,p,w,o,p,k,y,d
2290,x,y,g,t,n,f,c,b,b,u,t,b,s,s,g,g,p,w,o,p,k,y,d
2291,x,y,e,t,n,f,c,b,b,n,t,b,s,s,g,g,p,w,o,p,k,v,d
2292,x,y,e,t,n,f,c,b,b,n,t,b,s,s,p,w,p,w,o,p,n,v,d
2293,x,y,e,t,n,f,c,b,b,p,t,b,s,s,w,g,p,w,o,p,k,v,d
2294,x,f,g,t,n,f,c,b,b,p,t,b,s,s,p,g,p,w,o,p,n,y,d
2295,f,s,w,f,n,f,w,b,b,n,t,e,s,s,w,w,p,w,o,e,k,s,g
2296,x,y,g,t,n,f,c,b,b,p,t,b,s,s,w,p,p,w,o,p,n,v,d
2297,x,f,n,f,n,f,w,b,b,p,t,e,s,f,w,w,p,w,o,e,n,s,g
2298,x,f,n,t,n,f,c,b,b,w,t,b,s,s,g,p,p,w,o,p,n,y,d
2299,x,y,g,t,n,f,c,b,b,p,t,b,s,s,p,p,p,w,o,p,k,v,d
2300,x,y,e,t,n,f,c,b,b,p,t,b,s,s,w,p,p,w,o,p,n,v,d
2301,x,y,n,t,n,f,c,b,b,u,t,b,s,s,g,p,p,w,o,p,k,v,d
2302,x,f,g,t,n,f,c,b,b,w,t,b,s,s,p,w,p,w,o,p,n,v,d
2303,x,f,g,t,n,f,c,b,b,w,t,b,s,s,p,w,p,w,o,p,k,y,d
2304,x,y,g,t,n,f,c,b,b,w,t,b,s,s,p,g,p,w,o,p,k,v,d
2305,x,y,g,t,n,f,c,b,b,n,t,b,s,s,p,p,p,w,o,p,n,y,d
2306,f,y,g,t,n,f,c,b,b,p,t,b,s,s,g,g,p,w,o,p,n,v,d
2307,x,f,e,t,n,f,c,b,b,p,t,b,s,s,w,w,p,w,o,p,k,v,d
2308,x,y,e,t,n,f,c,b,b,n,t,b,s,s,g,w,p,w,o,p,k,y,d
2309,x,f,n,t,n,f,c,b,b,w,t,b,s,s,p,w,p,w,o,p,n,v,d
2310,x,f,n,t,n,f,c,b,b,w,t,b,s,s,p,p,p,w,o,p,n,y,d
2311,f,f,n,t,n,f,c,b,b,n,t,b,s,s,g,g,p,w,o,p,k,v,d
2312,f,f,n,t,n,f,c,b,b,p,t,b,s,s,p,p,p,w,o,p,n,y,d
2313,x,y,g,t,n,f,c,b,b,u,t,b,s,s,p,p,p,w,o,p,n,v,d
2314,x,f,e,t,n,f,c,b,b,w,t,b,s,s,w,g,p,w,o,p,k,y,d
2315,f,y,n,t,n,f,c,b,b,w,t,b,s,s,p,g,p,w,o,p,k,v,d
2316,x,y,e,t,n,f,c,b,b,p,t,b,s,s,w,w,p,w,o,p,k,v,d
2317,f,y,n,t,n,f,c,b,b,w,t,b,s,s,w,p,p,w,o,p,k,y,d
2318,x,y,g,t,n,f,c,b,b,p,t,b,s,s,w,w,p,w,o,p,k,y,d
2319,f,f,n,t,n,f,c,b,b,n,t,b,s,s,p,w,p,w,o,p,n,v,d
2320,x,y,g,t,n,f,c,b,b,w,t,b,s,s,g,p,p,w,o,p,k,y,d
2321,x,y,e,t,n,f,c,b,b,w,t,b,s,s,p,p,p,w,o,p,k,v,d
2322,x,y,n,t,n,f,c,b,b,p,t,b,s,s,w,g,p,w,o,p,k,y,d
2323,x,f,g,t,n,f,c,b,b,w,t,b,s,s,w,p,p,w,o,p,k,y,d
2324,x,f,e,t,n,f,c,b,b,u,t,b,s,s,w,g,p,w,o,p,n,y,d
2325,x,f,n,t,n,f,c,b,b,u,t,b,s,s,p,p,p,w,o,p,k,v,d
2326,f,f,n,t,n,f,c,b,b,w,t,b,s,s,g,w,p,w,o,p,n,y,d
2327,f,y,g,t,n,f,c,b,b,u,t,b,s,s,p,p,p,w,o,p,n,v,d
2328,x,f,n,t,n,f,c,b,b,w,t,b,s,s,p,w,p,w,o,p,k,v,d
2329,x,y,e,t,n,f,c,b,b,w,t,b,s,s,p,w,p,w,o,p,k,y,d
2330,f,f,n,t,n,f,c,b,b,w,t,b,s,s,p,g,p,w,o,p,k,v,d
2331,x,y,n,t,n,f,c,b,b,w,t,b,s,s,g,p,p,w,o,p,k,v,d
2332,f,f,n,t,n,f,c,b,b,n,t,b,s,s,w,p,p,w,o,p,k,y,d
2333,x,y,e,t,n,f,c,b,b,u,t,b,s,s,w,g,p,w,o,p,n,y,d
2334,x,y,e,t,n,f,c,b,b,u,t,b,s,s,p,g,p,w,o,p,n,y,d
2335,x,f,g,t,n,f,c,b,b,w,t,b,s,s,g,g,p,w,o,p,n,v,d
2336,x,f,g,t,n,f,c,b,b,p,t,b,s,s,w,p,p,w,o,p,n,v,d
2337,f,f,e,t,n,f,c,b,b,u,t,b,s,s,w,p,p,w,o,p,n,v,d
2338,x,f,n,t,n,f,c,b,b,w,t,b,s,s,w,g,p,w,o,p,n,y,d
2339,x,y,e,t,n,f,c,b,b,n,t,b,s,s,p,p,p,w,o,p,n,y,d
2340,x,y,g,t,n,f,c,b,b,u,t,b,s,s,p,w,p,w,o,p,n,v,d
2341,x,y,g,t,n,f,c,b,b,u,t,b,s,s,w,p,p,w,o,p,k,y,d
2342,x,f,e,t,n,f,c,b,b,u,t,b,s,s,p,w,p,w,o,p,n,v,d
2343,f,f,n,t,n,f,c,b,b,w,t,b,s,s,w,w,p,w,o,p,n,v,d
2344,x,y,n,t,n,f,c,b,b,p,t,b,s,s,p,p,p,w,o,p,n,y,d
2345,x,y,g,t,n,f,c,b,b,u,t,b,s,s,g,p,p,w,o,p,k,v,d
2346,x,f,w,f,n,f,w,b,b,h,t,e,s,f,w,w,p,w,o,e,n,s,g
2347,f,y,g,t,n,f,c,b,b,w,t,b,s,s,g,g,p,w,o,p,n,y,d
2348,f,s,g,f,n,f,w,b,b,n,t,e,f,f,w,w,p,w,o,e,n,s,g
2349,f,f,n,t,n,f,c,b,b,u,t,b,s,s,g,w,p,w,o,p,n,y,d
2350,x,y,e,t,n,f,c,b,b,w,t,b,s,s,w,w,p,w,o,p,k,y,d
2351,f,y,w,t,p,f,c,n,n,w,e,e,s,s,w,w,p,w,o,p,n,s,u
2352,x,y,g,t,n,f,c,b,b,n,t,b,s,s,w,g,p,w,o,p,k,v,d
2353,f,f,n,t,n,f,c,b,b,w,t,b,s,s,w,w,p,w,o,p,k,y,d
2354,x,f,g,t,n,f,c,b,b,w,t,b,s,s,g,g,p,w,o,p,n,y,d
2355,x,f,e,t,n,f,c,b,b,n,t,b,s,s,p,g,p,w,o,p,k,v,d
2356,f,f,g,t,n,f,c,b,b,n,t,b,s,s,g,w,p,w,o,p,k,v,d
2357,x,y,n,t,n,f,c,b,b,p,t,b,s,s,p,g,p,w,o,p,n,y,d
2358,x,y,e,t,n,f,c,b,b,n,t,b,s,s,p,w,p,w,o,p,k,y,d
2359,x,y,n,t,n,f,c,b,b,n,t,b,s,s,p,g,p,w,o,p,n,v,d
2360,x,y,n,t,n,f,c,b,b,n,t,b,s,s,w,w,p,w,o,p,n,y,d
2361,f,f,n,t,n,f,c,b,b,p,t,b,s,s,g,w,p,w,o,p,k,y,d
2362,x,y,g,t,n,f,c,b,b,u,t,b,s,s,g,p,p,w,o,p,k,y,d
2363,x,y,n,t,n,f,c,b,b,n,t,b,s,s,w,p,p,w,o,p,k,y,d
2364,x,f,e,t,n,f,c,b,b,w,t,b,s,s,w,g,p,w,o,p,k,v,d
2365,f,f,n,t,n,f,c,b,b,p,t,b,s,s,p,g,p,w,o,p,k,y,d
2366,x,f,e,t,n,f,c,b,b,n,t,b,s,s,w,w,p,w,o,p,k,v,d
2367,f,s,w,f,n,f,w,b,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g
2368,x,y,n,t,n,f,c,b,b,n,t,b,s,s,g,w,p,w,o,p,k,v,d
2369,x,f,g,t,n,f,c,b,b,w,t,b,s,s,g,g,p,w,o,p,k,y,d
2370,x,f,n,t,n,f,c,b,b,w,t,b,s,s,p,w,p,w,o,p,k,y,d
2371,x,f,e,t,n,f,c,b,b,p,t,b,s,s,g,g,p,w,o,p,n,y,d
2372,f,f,n,t,n,f,c,b,b,n,t,b,s,s,g,p,p,w,o,p,k,y,d
2373,x,f,n,t,n,f,c,b,b,u,t,b,s,s,w,p,p,w,o,p,n,v,d
2374,x,y,n,t,n,f,c,b,b,p,t,b,s,s,w,g,p,w,o,p,n,y,d
2375,f,s,w,t,p,f,c,n,n,w,e,e,s,s,w,w,p,w,o,p,n,v,u
2376,x,f,g,t,n,f,c,b,b,w,t,b,s,s,g,g,p,w,o,p,k,v,d
2377,f,s,w,f,n,f,w,b,b,k,t,e,s,s,w,w,p,w,o,e,k,s,g
2378,x,s,g,f,n,f,w,b,b,p,t,e,s,f,w,w,p,w,o,e,n,s,g
2379,x,f,g,t,n,f,c,b,b,p,t,b,s,s,p,g,p,w,o,p,k,v,d
2380,f,f,n,t,n,f,c,b,b,n,t,b,s,s,p,g,p,w,o,p,k,y,d
2381,x,f,e,t,n,f,c,b,b,n,t,b,s,s,g,g,p,w,o,p,k,v,d
2382,x,y,g,t,n,f,c,b,b,n,t,b,s,s,p,g,p,w,o,p,k,v,d
2383,f,f,n,t,n,f,c,b,b,u,t,b,s,s,w,g,p,w,o,p,k,y,d
2384,x,f,n,t,n,f,c,b,b,w,t,b,s,s,p,p,p,w,o,p,n,v,d
2385,x,f,g,f,f,f,c,b,b,h,e,b,k,k,n,n,p,w,o,l,h,y,d
2386,x,y,e,t,n,f,c,b,b,w,t,b,s,s,g,g,p,w,o,p,k,y,d
2387,x,f,n,f,n,f,w,b,b,h,t,e,s,s,w,w,p,w,o,e,k,a,g
2388,x,s,w,t,p,f,c,n,n,n,e,e,s,s,w,w,p,w,o,p,n,v,g
2389,x,y,g,t,n,f,c,b,b,p,t,b,s,s,p,p,p,w,o,p,n,y,d
2390,f,f,n,t,n,f,c,b,b,n,t,b,s,s,w,w,p,w,o,p,n,v,d
2391,x,f,n,t,n,f,c,b,b,p,t,b,s,s,g,p,p,w,o,p,k,y,d
2392,x,y,g,t,n,f,c,b,b,u,t,b,s,s,p,w,p,w,o,p,k,v,d
2393,x,y,g,t,n,f,c,b,b,w,t,b,s,s,p,p,p,w,o,p,k,v,d
2394,f,f,n,t,n,f,c,b,b,u,t,b,s,s,p,p,p,w,o,p,n,v,d
2395,f,f,n,t,n,f,c,b,b,u,t,b,s,s,g,w,p,w,o,p,k,y,d
2396,x,f,g,t,n,f,c,b,b,u,t,b,s,s,w,g,p,w,o,p,k,v,d
2397,f,f,g,t,n,f,c,b,b,n,t,b,s,s,g,p,p,w,o,p,n,y,d
2398,x,y,e,t,n,f,c,b,b,u,t,b,s,s,g,g,p,w,o,p,n,y,d
2399,x,f,e,t,n,f,c,b,b,n,t,b,s,s,w,w,p,w,o,p,k,y,d
2400,x,s,w,t,p,f,c,n,n,n,e,e,s,s,w,w,p,w,o,p,k,v,g
2401,f,f,g,t,n,f,c,b,b,n,t,b,s,s,w,w,p,w,o,p,k,v,d
2402,x,f,g,t,n,f,c,b,b,p,t,b,s,s,g,p,p,w,o,p,k,v,d
2403,f,y,e,t,n,f,c,b,b,w,t,b,s,s,w,p,p,w,o,p,k,v,d
2404,f,y,g,t,n,f,c,b,b,p,t,b,s,s,p,p,p,w,o,p,k,v,d
2405,x,y,n,t,n,f,c,b,b,w,t,b,s,s,w,w,p,w,o,p,n,v,d
2406,x,y,e,t,n,f,c,b,b,w,t,b,s,s,g,w,p,w,o,p,n,y,d
2407,x,f,e,t,n,f,c,b,b,w,t,b,s,s,w,w,p,w,o,p,n,y,d
2408,x,y,e,t,n,f,c,b,b,w,t,b,s,s,g,w,p,w,o,p,k,y,d
2409,f,f,g,t,n,f,c,b,b,n,t,b,s,s,p,g,p,w,o,p,n,y,d
2410,x,f,g,t,n,f,c,b,b,p,t,b,s,s,w,w,p,w,o,p,k,v,d
2411,f,f,n,t,n,f,c,b,b,p,t,b,s,s,w,p,p,w,o,p,n,v,d
2412,x,y,n,t,n,f,c,b,b,p,t,b,s,s,p,p,p,w,o,p,n,v,d
2413,x,y,g,t,n,f,c,b,b,n,t,b,s,s,p,p,p,w,o,p,k,v,d
2414,x,f,g,t,n,f,c,b,b,u,t,b,s,s,p,p,p,w,o,p,n,v,d
2415,x,y,n,t,n,f,c,b,b,p,t,b,s,s,p,p,p,w,o,p,k,y,d
2416,f,f,n,t,n,f,c,b,b,w,t,b,s,s,g,p,p,w,o,p,n,v,d
2417,x,y,n,t,n,f,c,b,b,u,t,b,s,s,g,w,p,w,o,p,k,y,d
2418,x,y,n,t,n,f,c,b,b,p,t,b,s,s,p,g,p,w,o,p,k,y,d
2419,f,f,n,t,n,f,c,b,b,p,t,b,s,s,p,g,p,w,o,p,k,v,d
2420,x,f,n,t,n,f,c,b,b,u,t,b,s,s,p,g,p,w,o,p,n,y,d
2421,x,f,n,t,n,f,c,b,b,p,t,b,s,s,g,w,p,w,o,p,n,v,d
2422,x,y,n,t,n,f,c,b,b,p,t,b,s,s,g,p,p,w,o,p,k,y,d
2423,f,f,g,t,n,f,c,b,b,n,t,b,s,s,p,p,p,w,o,p,n,y,d
2424,x,f,e,t,n,f,c,b,b,u,t,b,s,s,w,w,p,w,o,p,n,y,d
2425,f,f,n,t,n,f,c,b,b,p,t,b,s,s,g,g,p,w,o,p,n,v,d
2426,x,s,p,f,c,f,c,n,n,g,e,b,s,s,w,w,p,w,o,p,k,v,d
2427,x,f,e,t,n,f,c,b,b,u,t,b,s,s,p,p,p,w,o,p,n,y,d
2428,f,f,n,t,n,f,c,b,b,w,t,b,s,s,p,g,p,w,o,p,k,y,d
2429,x,f,n,t,n,f,c,b,b,w,t,b,s,s,p,p,p,w,o,p,k,y,d
2430,f,f,e,t,n,f,c,b,b,u,t,b,s,s,p,g,p,w,o,p,n,v,d
2431,x,y,e,t,n,f,c,b,b,n,t,b,s,s,w,g,p,w,o,p,k,y,d
2432,x,f,g,t,n,f,c,b,b,w,t,b,s,s,w,g,p,w,o,p,n,y,d
2433,x,f,g,t,n,f,c,b,b,n,t,b,s,s,p,w,p,w,o,p,n,y,d
2434,x,f,g,t,n,f,c,b,b,p,t,b,s,s,g,w,p,w,o,p,k,v,d
2435,x,f,g,t,n,f,c,b,b,u,t,b,s,s,p,g,p,w,o,p,n,y,d
2436,f,f,g,t,n,f,c,b,b,p,t,b,s,s,w,g,p,w,o,p,n,y,d
2437,x,f,e,t,n,f,c,b,b,u,t,b,s,s,w,g,p,w,o,p,n,v,d
2438,f,y,n,t,n,f,c,b,b,p,t,b,s,s,p,g,p,w,o,p,k,y,d
2439,f,y,e,t,n,f,c,b,b,u,t,b,s,s,g,w,p,w,o,p,k,v,d
2440,x,y,g,t,n,f,c,b,b,u,t,b,s,s,w,w,p,w,o,p,n,y,d
2441,x,y,g,t,n,f,c,b,b,w,t,b,s,s,p,p,p,w,o,p,k,y,d
2442,x,f,g,t,n,f,c,b,b,n,t,b,s,s,p,w,p,w,o,p,k,y,d
2443,x,f,g,f,f,f,c,b,b,h,e,b,k,k,b,b,p,w,o,l,h,y,g
2444,x,y,n,t,n,f,c,b,b,u,t,b,s,s,w,p,p,w,o,p,k,v,d
2445,x,y,e,t,n,f,c,b,b,p,t,b,s,s,g,p,p,w,o,p,n,y,d
2446,x,f,n,t,n,f,c,b,b,w,t,b,s,s,p,g,p,w,o,p,k,v,d
2447,f,f,n,t,n,f,c,b,b,p,t,b,s,s,w,w,p,w,o,p,n,y,d
2448,f,f,n,t,n,f,c,b,b,p,t,b,s,s,p,w,p,w,o,p,k,v,d
2449,f,f,g,t,n,f,c,b,b,n,t,b,s,s,w,w,p,w,o,p,k,y,d
2450,f,f,g,t,n,f,c,b,b,p,t,b,s,s,p,w,p,w,o,p,n,y,d
2451,x,y,g,t,n,f,c,b,b,w,t,b,s,s,p,p,p,w,o,p,n,y,d
2452,x,f,g,f,n,f,w,b,b,k,t,e,s,f,w,w,p,w,o,e,n,a,g
2453,x,y,g,t,n,f,c,b,b,n,t,b,s,s,w,w,p,w,o,p,k,y,d
2454,x,f,e,t,n,f,c,b,b,p,t,b,s,s,w,p,p,w,o,p,k,y,d
2455,f,f,n,t,n,f,c,b,b,p,t,b,s,s,p,p,p,w,o,p,k,v,d
2456,x,y,e,t,n,f,c,b,b,n,t,b,s,s,g,w,p,w,o,p,n,y,d
2457,x,f,g,t,n,f,c,b,b,p,t,b,s,s,w,w,p,w,o,p,n,v,d
2458,x,f,n,t,n,f,c,b,b,p,t,b,s,s,g,g,p,w,o,p,k,y,d
2459,x,y,e,t,n,f,c,b,b,w,t,b,s,s,w,p,p,w,o,p,n,v,d
2460,x,f,n,t,n,f,c,b,b,w,t,b,s,s,w,p,p,w,o,p,k,v,d
2461,f,f,g,t,n,f,c,b,b,p,t,b,s,s,w,w,p,w,o,p,k,y,d
2462,x,y,g,t,n,f,c,b,b,n,t,b,s,s,g,w,p,w,o,p,k,y,d
2463,x,y,g,t,n,f,c,b,b,u,t,b,s,s,w,p,p,w,o,p,k,v,d
2464,f,f,n,t,n,f,c,b,b,u,t,b,s,s,p,w,p,w,o,p,n,y,d
2465,x,f,g,t,n,f,c,b,b,p,t,b,s,s,g,g,p,w,o,p,k,v,d
2466,f,f,n,t,n,f,c,b,b,p,t,b,s,s,g,p,p,w,o,p,n,v,d
2467,x,y,e,t,n,f,c,b,b,p,t,b,s,s,p,w,p,w,o,p,k,v,d
2468,x,f,n,t,n,f,c,b,b,u,t,b,s,s,p,p,p,w,o,p,k,y,d
2469,x,y,g,t,n,f,c,b,b,w,t,b,s,s,g,p,p,w,o,p,k,v,d
2470,f,f,g,t,n,f,c,b,b,p,t,b,s,s,w,g,p,w,o,p,k,v,d
2471,x,f,g,t,n,f,c,b,b,p,t,b,s,s,w,g,p,w,o,p,n,v,d
2472,x,f,n,t,n,f,c,b,b,w,t,b,s,s,g,g,p,w,o,p,k,v,d
2473,x,y,g,t,n,f,c,b,b,w,t,b,s,s,p,w,p,w,o,p,n,v,d
2474,x,y,g,t,n,f,c,b,b,p,t,b,s,s,w,p,p,w,o,p,n,y,d
2475,x,y,e,t,n,f,c,b,b,n,t,b,s,s,w,p,p,w,o,p,n,v,d
2476,x,y,n,t,n,f,c,b,b,w,t,b,s,s,p,g,p,w,o,p,k,v,d
2477,x,y,g,t,n,f,c,b,b,u,t,b,s,s,w,g,p,w,o,p,k,y,d
2478,f,y,n,t,p,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,k,s,u
2479,x,s,g,f,n,f,w,b,b,n,t,e,f,s,w,w,p,w,o,e,n,s,g
2480,x,f,g,t,n,f,c,b,b,u,t,b,s,s,g,p,p,w,o,p,k,v,d
2481,x,f,e,t,n,f,c,b,b,n,t,b,s,s,w,g,p,w,o,p,k,y,d
2482,x,s,p,f,c,f,w,n,n,u,e,b,s,s,w,w,p,w,o,p,n,s,d
2483,x,y,n,t,n,f,c,b,b,w,t,b,s,s,p,p,p,w,o,p,k,y,d
2484,x,f,e,t,n,f,c,b,b,p,t,b,s,s,w,g,p,w,o,p,k,v,d
2485,x,y,n,t,n,f,c,b,b,p,t,b,s,s,w,w,p,w,o,p,n,y,d
2486,x,y,e,t,n,f,c,b,b,u,t,b,s,s,p,g,p,w,o,p,k,v,d
2487,x,s,w,f,n,f,w,b,b,k,t,e,s,s,w,w,p,w,o,e,n,s,g
2488,f,f,g,t,n,f,c,b,b,p,t,b,s,s,g,p,p,w,o,p,n,v,d
2489,x,y,g,t,n,f,c,b,b,n,t,b,s,s,g,p,p,w,o,p,n,v,d
2490,x,y,g,t,n,f,c,b,b,n,t,b,s,s,p,p,p,w,o,p,n,v,d
2491,x,f,e,t,n,f,c,b,b,n,t,b,s,s,g,w,p,w,o,p,n,y,d
2492,x,y,g,t,n,f,c,b,b,n,t,b,s,s,p,w,p,w,o,p,k,v,d
2493,x,y,g,t,n,f,c,b,b,w,t,b,s,s,w,p,p,w,o,p,n,v,d
2494,x,f,e,t,n,f,c,b,b,p,t,b,s,s,g,p,p,w,o,p,k,y,d
2495,f,y,w,t,p,f,c,n,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u
2496,f,f,n,t,n,f,c,b,b,u,t,b,s,s,w,w,p,w,o,p,n,y,d
2497,x,f,e,t,n,f,c,b,b,w,t,b,s,s,g,w,p,w,o,p,k,y,d
2498,x,f,e,t,n,f,c,b,b,n,t,b,s,s,p,p,p,w,o,p,n,v,d
2499,x,y,g,t,n,f,c,b,b,p,t,b,s,s,w,g,p,w,o,p,k,v,d
2500,f,s,w,f,n,f,w,b,b,h,t,e,f,f,w,w,p,w,o,e,k,s,g
2501,x,f,n,f,n,f,w,b,b,k,t,e,f,s,w,w,p,w,o,e,n,a,g
2502,x,f,n,t,n,f,c,b,b,w,t,b,s,s,p,p,p,w,o,p,k,v,d
2503,f,f,n,t,n,f,c,b,b,n,t,b,s,s,p,g,p,w,o,p,n,v,d
2504,x,y,e,t,n,f,c,b,b,p,t,b,s,s,w,g,p,w,o,p,n,y,d
2505,x,y,e,t,n,f,c,b,b,u,t,b,s,s,p,p,p,w,o,p,n,y,d
2506,x,y,e,t,n,f,c,b,b,p,t,b,s,s,p,w,p,w,o,p,n,y,d
2507,f,f,n,t,n,f,c,b,b,w,t,b,s,s,w,p,p,w,o,p,k,y,d
2508,x,f,g,t,n,f,c,b,b,w,t,b,s,s,w,w,p,w,o,p,k,v,d
2509,f,f,n,t,n,f,c,b,b,w,t,b,s,s,w,g,p,w,o,p,k,v,d
2510,f,f,e,t,n,f,c,b,b,n,t,b,s,s,w,p,p,w,o,p,n,y,d
2511,x,y,e,t,n,f,c,b,b,w,t,b,s,s,p,p,p,w,o,p,n,v,d
2512,x,s,w,f,c,f,w,n,n,p,e,b,s,s,w,w,p,w,o,p,n,s,d
2513,f,f,n,t,n,f,c,b,b,u,t,b,s,s,p,p,p,w,o,p,k,y,d
2514,f,f,g,t,n,f,c,b,b,p,t,b,s,s,p,p,p,w,o,p,n,y,d
2515,f,f,n,t,n,f,c,b,b,u,t,b,s,s,w,w,p,w,o,p,k,v,d
2516,x,y,n,t,n,f,c,b,b,p,t,b,s,s,p,g,p,w,o,p,k,v,d
2517,x,f,e,t,n,f,c,b,b,w,t,b,s,s,g,p,p,w,o,p,k,y,d
2518,f,s,w,f,n,f,w,b,b,n,t,e,f,s,w,w,p,w,o,e,n,s,g
2519,x,y,g,t,n,f,c,b,b,u,t,b,s,s,p,p,p,w,o,p,n,y,d
2520,x,f,e,t,n,f,c,b,b,p,t,b,s,s,p,p,p,w,o,p,k,v,d
2521,f,f,n,t,n,f,c,b,b,n,t,b,s,s,w,g,p,w,o,p,n,v,d
2522,f,f,n,t,n,f,c,b,b,p,t,b,s,s,w,g,p,w,o,p,k,v,d
2523,x,y,n,t,n,f,c,b,b,n,t,b,s,s,g,w,p,w,o,p,k,y,d
2524,x,y,g,t,n,f,c,b,b,n,t,b,s,s,w,p,p,w,o,p,n,y,d
2525,x,y,n,t,n,f,c,b,b,n,t,b,s,s,w,w,p,w,o,p,k,v,d
2526,x,f,g,t,n,f,c,b,b,u,t,b,s,s,p,w,p,w,o,p,n,y,d
2527,x,y,n,t,n,f,c,b,b,w,t,b,s,s,w,w,p,w,o,p,k,y,d
2528,x,y,n,t,n,f,c,b,b,p,t,b,s,s,w,p,p,w,o,p,k,v,d
2529,f,f,n,t,n,f,c,b,b,p,t,b,s,s,p,w,p,w,o,p,n,y,d
2530,x,y,g,t,n,f,c,b,b,n,t,b,s,s,w,p,p,w,o,p,n,v,d
2531,x,y,e,t,n,f,c,b,b,w,t,b,s,s,p,p,p,w,o,p,k,y,d
2532,x,y,n,t,n,f,c,b,b,n,t,b,s,s,p,p,p,w,o,p,k,y,d
2533,x,f,g,f,f,f,c,b,b,g,e,b,k,k,n,b,p,w,o,l,h,y,p
2534,f,f,g,t,n,f,c,b,b,u,t,b,s,s,p,p,p,w,o,p,k,v,d
2535,x,y,e,t,n,f,c,b,b,u,t,b,s,s,g,g,p,w,o,p,k,v,d
2536,x,f,g,f,f,f,c,b,b,h,e,b,k,k,p,b,p,w,o,l,h,v,d
2537,x,y,e,t,n,f,c,b,b,n,t,b,s,s,w,w,p,w,o,p,k,v,d
2538,x,f,e,t,n,f,c,b,b,n,t,b,s,s,w,g,p,w,o,p,k,v,d
2539,x,f,g,f,f,f,c,b,b,h,e,b,k,k,b,n,p,w,o,l,h,y,d
2540,x,f,p,f,c,f,w,n,n,n,e,b,s,s,w,w,p,w,o,p,n,s,d
2541,x,f,g,t,n,f,c,b,b,u,t,b,s,s,w,w,p,w,o,p,k,v,d
2542,f,f,g,t,n,f,c,b,b,p,t,b,s,s,p,g,p,w,o,p,n,y,d
2543,x,f,g,t,n,f,c,b,b,u,t,b,s,s,w,p,p,w,o,p,n,v,d
2544,x,y,g,t,n,f,c,b,b,w,t,b,s,s,w,p,p,w,o,p,k,y,d
2545,x,y,g,t,n,f,c,b,b,n,t,b,s,s,w,g,p,w,o,p,n,v,d
2546,f,f,g,t,n,f,c,b,b,n,t,b,s,s,g,g,p,w,o,p,n,y,d
2547,x,f,g,t,n,f,c,b,b,w,t,b,s,s,w,p,p,w,o,p,n,y,d
2548,x,f,e,t,n,f,c,b,b,p,t,b,s,s,g,p,p,w,o,p,k,v,d
2549,x,f,n,t,n,f,c,b,b,w,t,b,s,s,w,w,p,w,o,p,k,y,d
2550,x,y,n,t,n,f,c,b,b,u,t,b,s,s,p,g,p,w,o,p,k,v,d
2551,f,f,n,t,n,f,c,b,b,p,t,b,s,s,w,g,p,w,o,p,k,y,d
2552,f,f,n,t,n,f,c,b,b,u,t,b,s,s,p,w,p,w,o,p,n,v,d
2553,f,f,g,t,n,f,c,b,b,n,t,b,s,s,p,g,p,w,o,p,k,y,d
2554,x,f,g,t,n,f,c,b,b,p,t,b,s,s,w,g,p,w,o,p,k,y,d
2555,x,y,n,t,n,f,c,b,b,u,t,b,s,s,p,p,p,w,o,p,n,v,d
